Requirement ID,Requirement Description,Module/API,File Path,Test Case,Implementation Status,Test Status
RQ-001,Retrieve subscription information for a profile/account,SubscriptionsController - GET /v1/accounts,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-001-getAllAccountInfoInProfile,Implemented,Passed
RQ-002,Retrieve all customer info for accounts in profile with flexible filtering,SubscriptionsController - GET /v2/accounts-list,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-002-getAllCustomerInfo,Implemented,Passed
RQ-003,Retrieve account information with subscription details and device count,SubscriptionsController - GET /v1/accountinfo/{accountAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-003-getAccountInfo,Implemented,Passed
RQ-004,Retrieve detailed account information with flexible filtering and consolidation,SubscriptionsController - GET /v2/account/{accountAlias}/account-info,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-004-getAccountInfoDetails,Implemented,Passed
RQ-005,Retrieve subscribed item details for a CTN/subscription alias,SubscriptionsController - GET /v1/{accountalias}/socdevicedetails/{subscriptionAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-005-getSubscribedItemDetailsForCTN,Implemented,Passed
RQ-006,Check availability of offers for multiple CTNs,SubscriptionsController - POST /v1/local/checkOfferAvailability,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-006-checkOffersAvailability,Implemented,Passed
RQ-007,Remote check availability of offers for multiple CTNs,SubscriptionsController - POST /v1/remote/checkOfferAvailability,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-007-checkRemoteOffersAvailability,Implemented,Passed
RQ-008,Retrieve credit limit details for an account,SubscriptionsController - GET /v1/creditLimits/{accountAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-008-getCreditLimitDetails,Implemented,Passed
RQ-009,Get existing plan discount for an account,SubscriptionsController - POST /v1/existingPlanDiscount/account/{accountAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-009-getExistingPlanDiscount,Implemented,Passed
RQ-010,Retrieve device contract details for a subscription,SubscriptionsController - GET /v1/{accountAlias}/devicecontractdetails/{subscriptionAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-010-getSubscriberDeviceContractDetails,Implemented,Passed
RQ-011,Retrieve account and subscription aliases,SubscriptionsController - GET v1/account/alias,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-011-getAccountSubAlias,Implemented,Passed
RQ-012,Retrieve subscription details by subscription type,SubscriptionsController - GET /v1/accounts/{accountAlias}/subscriber/{subscriptionType}/{subscriptionAlias}/details,api/src/main/java/com/rogers/api/subscriptions/controllers/SubscriptionsController.java,TC-012-getSubscriptionDetails,Implemented,Passed
RQ-013,Retrieve base province for a subscriber,CustomerController - GET v1/account/{accountAlias}/subscriber/{subscriberAlias}/province,api/src/main/java/com/rogers/api/subscriptions/controllers/CustomerController.java,TC-013-getBaseProvince,Implemented,Passed
RQ-014,Update contact information for an account,CustomerController - PATCH v1/account/{accountAlias}/contact,api/src/main/java/com/rogers/api/subscriptions/controllers/CustomerController.java,TC-014-updateContactDetails,Implemented,Passed
RQ-015,Retrieve available offers info for PDO,ActionOffersController - GET /v1/actionsOffers/info/{accountAlias}/{ecidAlias},api/src/main/java/com/rogers/api/subscriptions/controllers/ActionOffersController.java,TC-015-getAvailableOffersInfo,Implemented,Passed
RQ-016,Update disposition code for PDO,ActionOffersController - POST /v1/actionsOffers/feedback,api/src/main/java/com/rogers/api/subscriptions/controllers/ActionOffersController.java,TC-016-updateDisposition,Implemented,Passed
RQ-017,Retrieve customer type information via IDV,IDVController - GET /v1/{accountAlias}/customer/type,api/src/main/java/com/rogers/api/subscriptions/idv/controller/IDVController.java,TC-017-getCustomerType,Implemented,Passed
RQ-018,Retrieve customer type V2 information via IDV,IDVController - GET /v2/{accountAlias}/customer/type,api/src/main/java/com/rogers/api/subscriptions/idv/controller/IDVController.java,TC-018-getCustomerTypeV2,Implemented,Passed
RQ-019,Authenticate user requests with BAN validation,AuthenticationInterceptor,api/src/main/java/com/rogers/api/common/interceptors/AuthenticationInterceptor.java,TC-019-authenticationPreHandle,Implemented,Passed
RQ-020,Validate authentication tokens from request,AuthenticationInterceptor,api/src/main/java/com/rogers/api/common/interceptors/AuthenticationInterceptor.java,TC-020-tokenValidation,Implemented,Passed
RQ-021,Update authentication cookies with secure settings,AuthenticationInterceptor,api/src/main/java/com/rogers/api/common/interceptors/AuthenticationInterceptor.java,TC-021-updateCookies,Implemented,Passed
RQ-022,Service health check endpoint,HealthCheckController - GET /v1/health/status,api/src/main/java/com/rogers/api/common/controllers/HealthCheckController.java,TC-022-healthCheck,Implemented,Passed
RQ-023,Retrieve account subscriptions synchronously,SubscriptionServiceImpl.getAllAccountInfoInProfile,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-023-subscriptionService,Implemented,Passed
RQ-024,Retrieve account details with optional device count,SubscriptionServiceImpl.getAccountDetails,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-024-accountDetails,Implemented,Passed
RQ-025,Retrieve customer account data with flexible filtering,SubscriptionServiceImpl.getAllCustomerInfo,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-025-customerInfo,Implemented,Passed
RQ-026,Retrieve V2 account information with consolidation,SubscriptionServiceImpl.getAccountInfoV2,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-026-accountInfoV2,Implemented,Passed
RQ-027,Check offer availability across multiple accounts,SubscriptionServiceImpl.checkOffersAvailability,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-027-offerAvailability,Implemented,Passed
RQ-028,Retrieve credit limits for an account,SubscriptionServiceImpl.getCreditLimitDetails,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-028-creditLimits,Implemented,Passed
RQ-029,Retrieve existing plan discount,SubscriptionServiceImpl.getExistingPlanDiscount,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-029-planDiscount,Implemented,Passed
RQ-030,Retrieve device contract details,SubscriptionServiceImpl.getDeviceContractDetails,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-030-deviceContract,Implemented,Passed
RQ-031,Retrieve account alias mapping,SubscriptionServiceImpl.getAlias,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-031-accountAlias,Implemented,Passed
RQ-032,Retrieve subscription details,SubscriptionServiceImpl.getSubscriptionDetails,api/src/main/java/com/rogers/api/subscriptions/service/SubscriptionServiceImpl.java,TC-032-subscriptionDetails,Implemented,Passed
RQ-033,Retrieve customer base province,CustomerServiceImpl.getBaseProvince,api/src/main/java/com/rogers/api/subscriptions/service/CustomerServiceImpl.java,TC-033-baseProvince,Implemented,Passed
RQ-034,Update customer contact information,CustomerServiceImpl.updateContactInfo,api/src/main/java/com/rogers/api/subscriptions/service/CustomerServiceImpl.java,TC-034-updateContact,Implemented,Passed
RQ-035,Retrieve customer information via IDV,IDVServiceImpl.getCustomerInformation,api/src/main/java/com/rogers/api/subscriptions/idv/service/impl/IDVServiceImpl.java,TC-035-idvCustomerInfo,Implemented,Passed
RQ-036,Retrieve available offers from AO service,ActionOffersServiceImpl.getAvailableOffersInfo,api/src/main/java/com/rogers/api/subscriptions/service/ActionOffersServiceImpl.java,TC-036-availableOffers,Implemented,Passed
RQ-037,Update disposition in AO service,ActionOffersServiceImpl.updateDisposition,api/src/main/java/com/rogers/api/subscriptions/service/ActionOffersServiceImpl.java,TC-037-updateDisposition,Implemented,Passed
RQ-038,Handle authorization token validation,AuthorizationTokenUtil.validatingUserBan,api/src/main/java/com/rogers/api/common/utils/AuthorizationTokenUtil.java,TC-038-tokenValidation,Implemented,Passed
RQ-039,Extract authentication token from request,AuthService.fetchDataFromValidateTokenAPI,api/src/main/java/com/rogers/api/common/service/AuthServiceImpl.java,TC-039-fetchToken,Implemented,Passed
RQ-040,Encrypt/Decrypt sensitive data,AESEncryptionServiceImpl,api/src/main/java/com/rogers/api/subscriptions/service/AESEncryptionServiceImpl.java,TC-040-encryption,Implemented,Passed
