Requirement ID,Module/Category,Requirement Description,Priority,Acceptance Criteria,Test Case ID,Test Scenario,Design Component,Implementation Status,Test Status
REQ-001,Request Creation,System shall allow users to select request type from predefined list,High,User can see and select from dropdown containing System Access/Equipment/Facility/General Service,TC-001,Verify request type dropdown displays all predefined request types,Request Type Dropdown Component,Completed,Passed
REQ-002,Request Creation,System shall allow users to enter short description,High,Description field accepts text input with minimum 10 and maximum 100 characters,TC-002,Verify short description field accepts valid text input and validates length,Description Input Field,Completed,Passed
REQ-003,Request Creation,System shall allow users to enter detailed justification or comments,Medium,Justification field accepts text input with maximum 500 characters,TC-003,Verify detailed justification field accepts multi-line text with character limit,Justification Text Area,Completed,Passed
REQ-004,Request Creation,System shall allow users to select priority level,High,User can select from Low/Medium/High priority options,TC-004,Verify priority dropdown contains Low/Medium/High options,Priority Dropdown Component,Completed,Passed
REQ-005,Request Creation,System shall allow users to enter requested date,High,Date picker allows selection of current or future dates only,TC-005,Verify requested date field validates future dates and rejects past dates,Date Picker Component,Completed,Passed
REQ-006,Request Creation,System shall auto-generate unique Request ID upon submission,Critical,Each request receives unique alphanumeric ID (e.g. REQ-YYYY-NNNN),TC-006,Verify system generates unique Request ID for each new request,Request ID Generator Service,Completed,Passed
REQ-007,Request Creation,System shall set initial status as 'Submitted' for new requests,High,New request displays 'Submitted' status immediately after creation,TC-007,Verify newly created request shows status as 'Submitted',Status Management Service,Completed,Passed
REQ-008,Request Creation,System shall calculate target resolution date based on request type and priority,High,Target date calculated using configurable turnaround time rules,TC-008,Verify target resolution date is correctly calculated for different request types and priorities,Due Date Calculator Service,Completed,Passed
REQ-009,Request Types,System shall support System Access Request type,High,System Access Request option available and functional,TC-009,Verify System Access Request can be created and processed,Request Type Configuration,Completed,Passed
REQ-010,Request Types,System shall support Equipment Request type,High,Equipment Request option available and functional,TC-010,Verify Equipment Request can be created and processed,Request Type Configuration,Completed,Passed
REQ-011,Request Types,System shall support Facility Request type,High,Facility Request option available and functional,TC-011,Verify Facility Request can be created and processed,Request Type Configuration,Completed,Passed
REQ-012,Request Types,System shall support General Service Request type,High,General Service Request option available and functional,TC-012,Verify General Service Request can be created and processed,Request Type Configuration,Completed,Passed
REQ-013,Request Types,System shall allow configuration of request types at system level,Medium,Admin can add/edit/disable request types through configuration,TC-013,Verify admin can manage request types in system configuration,Request Type Admin Module,Completed,Passed
REQ-014,Request Processing,System shall maintain status flow: Submitted → Under Review → Approved/Rejected → Fulfilled → Closed,Critical,Status transitions follow defined workflow without skipping steps,TC-014,Verify status transitions follow the correct sequence,Workflow Engine,Completed,Passed
REQ-015,Request Processing,System shall enforce unique Request ID constraint,Critical,No two requests can have same Request ID,TC-015,Verify Request ID uniqueness across all requests,Database Constraints,Completed,Passed
REQ-016,Request Processing,System shall route requests requiring approval,High,Requests marked for approval are sent to designated approvers,TC-016,Verify requests requiring approval are routed to correct approvers,Approval Routing Service,Completed,Passed
